C#_energy Go_energy Java_energy JS_energy PHP_energy PY_energy Ruby_energy C#_MPF Go_MPF Java_MPF JS_MPF PHP_MPF PY_MPF Ruby_MPF C#_MRSS Go_MRSS Java_MRSS JS_MRSS PHP_MRSS PY_MRSS Ruby_MRSS C#_VCS Go_VCS Java_VCS JS_VCS PHP_VCS PY_VCS Ruby_VCS
 0 20.9 630.9 8.0 828.0 41.4 24.5 0 34788 15581 21491 7974489 2101 16401 0 91157 66441 94551 20616 16151 10151 0 66728 267113 141 10151 5615 10557
 0 22.5 179.3 3.5 837.0 38.7 26.4 0 34616 15531 21491 7974489 2101 16401 0 91519 66441 94551 20616 16151 10151 0 66728 267113 141 10151 5615 10557
 0 20.7 170.0 1.7 793.5 35.6 26.6 0 34618 15691 21491 7974489 2101 16401 0 91711 66441 94551 20616 16151 10151 0 66728 267113 141 10151 5615 10557
 0 20.7 180.4 1.7 833.1 41.3 26.6 0 34618 15259 21491 7974489 2101 16401 0 91581 66441 94551 20616 16151 10151 0 66728 267113 141 10151 5615 10557
 0 20.8 627.7 NaN 828.2 39.3 24.7 0 34698 15186 21491 7974489 2101 16401 0 91239 66441 94551 20616 16151 10151 0 66728 267113 141 10151 5615 10557
 0 19.0 180.4 3.6 830.5 39.4 27.0 0 34619 15373 21491 7974489 2101 16401 0 91498 66441 94551 20616 16151 10151 0 66728 267113 141 10151 5615 10557
 0 22.6 184.0 7.9 816.0 39.6 26.8 0 34618 15591 21491 7974489 2101 16401 0 91448 66441 94551 20616 16151 10151 0 66728 267113 141 10151 5615 10557
 0 21.1 239.0 1.7 NaN 35.9 27.2 0 34681 15581 21491 7974489 2101 16401 0 91478 66441 94551 20616 16151 10151 0 66728 267113 141 10151 5615 10557
 0 20.7 631.3 NaN 837.7 41.6 25.4 0 34691 15519 21491 7974489 2101 16401 0 91338 66441 94551 20616 16151 10151 0 66728 267113 141 10151 5615 10557
 0 21.2 650.6 NaN 853.7 39.8 27.3 0 34693 15256 21491 7974489 2101 16401 0 91070 66441 94551 20616 16151 10151 0 66728 267113 141 10151 5615 10557
 0 22.8 169.7 1.7 859.1 41.7 25.8 0 34581 15183 21491 7974489 2101 16401 0 91581 66441 94551 20616 16151 10151 0 66728 267113 141 10151 5615 10557
 0 22.8 192.4 1.7 853.5 39.9 25.7 0 33199 15258 21491 7974489 2101 16401 0 91090 66441 94551 20616 16151 10151 0 66728 267113 141 10151 5615 10557
 0 20.8 NaN 7.7 854.9 39.9 27.3 0 34519 15582 21491 7974489 2101 16401 0 91581 66441 94551 20616 16151 10151 0 66728 267113 141 10151 5615 10557
 0 20.9 182.5 3.7 850.0 35.9 25.4 0 34511 15410 21491 7974489 2101 16401 0 91078 66441 94551 20616 16151 10151 0 66728 267113 141 10151 5615 10557
 0 23.1 642.4 1.8 845.3 38.2 27.3 0 34096 15249 21491 7974489 2101 16401 0 91590 66441 94551 20616 16151 10151 0 66728 267113 141 10151 5615 10557
 0 20.4 185.6 5.7 847.6 39.9 27.5 0 34518 15591 21491 7974489 2101 16401 0 91905 66441 94551 20616 16151 10151 0 66728 267113 141 10151 5615 10557
 0 21.0 183.3 1.7 855.2 37.9 25.7 0 34081 15251 21491 7974489 2101 16401 0 92003 66441 94551 20616 16151 10151 0 66728 267113 141 10151 5615 10557
 0 21.4 190.0 3.7 881.2 38.3 27.8 0 34001 15580 21491 7974489 2101 16401 0 91980 66441 94551 20616 16151 10151 0 66728 267113 141 10151 5615 10557
 0 23.2 192.8 3.6 855.8 38.8 25.8 0 34059 15001 21491 7974489 2101 16401 0 91585 66441 94551 20616 16151 10151 0 66728 267113 141 10151 5615 10557
 0 23.1 185.2 NaN 866.2 38.1 26.4 0 34018 15018 21491 7974489 2101 16401 0 91590 66441 94551 20616 16151 10151 0 66728 267113 141 10151 5615 10557
 0 20.8 641.7 1.7 855.7 42.2 27.6 0 34791 15591 21491 7974489 2101 16401 0 91589 66441 94551 20616 16151 10151 0 66728 267113 141 10151 5615 10557
 0 23.0 185.1 2.2 NaN 40.9 27.9 0 34151 15581 21491 7974489 2101 16401 0 91339 66441 94551 20616 16151 10151 0 66728 267113 141 10151 5615 10557
 0 22.8 169.7 1.7 859.1 41.7 25.8 0 34011 15259 21491 7974489 2101 16401 0 95915 66441 94551 20616 16151 10151 0 66728 267113 141 10151 5615 10557
 0 22.8 192.4 1.7 853.5 39.9 25.7 0 34061 15591 21491 7974489 2101 16401 0 91410 66441 94551 20616 16151 10151 0 66728 267113 141 10151 5615 10557
 0 20.8 NaN 7.7 854.9 39.9 27.3 0 34099 15591 21491 7974489 2101 16401 0 91598 66441 94551 20616 16151 10151 0 66728 267113 141 10151 5615 10557
 0 20.9 182.5 3.7 850.0 35.9 25.4 0 34051 15581 21491 7974489 2101 16401 0 91351 66441 94551 20616 16151 10151 0 66728 267113 141 10151 5615 10557
 0 23.1 642.4 1.8 845.3 38.2 27.3 0 34016 15552 21491 7974489 2101 16401 0 91776 66441 94551 20616 16151 10151 0 66728 267113 141 10151 5615 10557
 0 20.4 185.6 5.7 847.6 39.9 27.5 0 34062 15585 21491 7974489 2101 16401 0 91581 66441 94551 20616 16151 10151 0 66728 267113 141 10151 5615 10557
 0 21.0 183.3 1.7 855.2 37.9 25.7 0 34036 15591 21491 7974489 2101 16401 0 91591 66441 94551 20616 16151 10151 0 66728 267113 141 10151 5615 10557
 0 21.4 190.0 3.7 881.2 38.3 27.8 0 34051 15585 21491 7974489 2101 16401 0 91179 66441 94551 20616 16151 10151 0 66728 267113 141 10151 5615 10557
 0 23.2 192.8 3.6 855.8 38.8 25.8 0 34055 15581 21491 7974489 2101 16401 0 92901 66441 94551 20616 16151 10151 0 66728 267113 141 10151 5615 10557
 0 23.1 185.2 NaN 866.2 38.1 26.4 0 34015 15595 21491 7974489 2101 16401 0 91581 66441 94551 20616 16151 10151 0 66728 267113 141 10151 5615 10557
 0 20.8 641.7 1.7 855.7 42.2 27.6 0 34025 15259 21491 7974489 2101 16401 0 91423 66441 94551 20616 16151 10151 0 66728 267113 141 10151 5615 10557
 0 21.4 190.0 3.7 881.2 38.3 27.8 0 34185 15593 21491 7974489 2101 16401 0 91419 66441 94551 20616 16151 10151 0 66728 267113 141 10151 5615 10557
